Rank 1000: HP: 1216, STR: 564177, VIT: 363, SPD: 80, LUK: 1, Attack: 651838, Defense: 84167, Current HP: 1216, A Avg: 1733889, D Avg: 84167, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 999: HP: 1216, STR: 564177, VIT: 433, SPD: 80, LUK: 1, Attack: 651838, Defense: 84296, Current HP: 1216, A Avg: 1733889, D Avg: 84296, [Neural Edge(190)[630, 630, 630], Titanium Shield(205)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 998: HP: 1216, STR: 564177, VIT: 450, SPD: 80, LUK: 1, Attack: 651838, Defense: 84339, Current HP: 1216, A Avg: 1733889, D Avg: 84339, [Neural Edge(190)[630, 630, 630], Large iron Shield(206)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 997: HP: 1280, STR: 564177, VIT: 494, SPD: 80, LUK: 1, Attack: 651838, Defense: 84370, Current HP: 1280, A Avg: 1733889, D Avg: 84370, [Neural Edge(190)[630, 630, 630], Magic Shield(207)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 996: HP: 1700, STR: 564177, VIT: 600, SPD: 80, LUK: 1, Attack: 651838, Defense: 84437, Current HP: 1700, A Avg: 1733889, D Avg: 84437, [Neural Edge(190)[630, 630, 630], Emerald Shield(209)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 995: HP: 1340, STR: 564177, VIT: 416, SPD: 80, LUK: 1, Attack: 651838, Defense: 84188, Current HP: 1340, A Avg: 1733889, D Avg: 84188, [Neural Edge(190)[630, 630, 630], Clear Shield(211)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 994: HP: 1380, STR: 564177, VIT: 494, SPD: 80, LUK: 1, Attack: 651838, Defense: 84513, Current HP: 1380, A Avg: 1733889, D Avg: 84513, [Neural Edge(190)[630, 630, 630], Prism Shield(212)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 993: HP: 1292, STR: 564177, VIT: 442, SPD: 80, LUK: 1, Attack: 651838, Defense: 84370, Current HP: 1292, A Avg: 1733889, D Avg: 84370, [Neural Edge(190)[630, 630, 630], Tower Shield(213)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 992: HP: 2066, STR: 564177, VIT: 737, SPD: 80, LUK: 1, Attack: 651838, Defense: 85299, Current HP: 2066, A Avg: 1733889, D Avg: 85299, [Neural Edge(190)[630, 630, 630], Slime Shield(221)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 991: HP: 1998, STR: 564177, VIT: 433, SPD: 80, LUK: 1, Attack: 651838, Defense: 84361, Current HP: 1998, A Avg: 1733889, D Avg: 84361, [Neural Edge(190)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 990: HP: 1280, STR: 564177, VIT: 1118, SPD: 80, LUK: 1, Attack: 651838, Defense: 87906, Current HP: 1280, A Avg: 1733889, D Avg: 87906, [Neural Edge(190)[630, 630, 630], Energy Shield(227)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 989: HP: 3562, STR: 564177, VIT: 350, SPD: 80, LUK: 1, Attack: 651838, Defense: 86267, Current HP: 3562, A Avg: 1733889, D Avg: 86267, [Neural Edge(190)[630, 630, 630], Frying Pan(231)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 988: HP: 2304, STR: 564177, VIT: 832, SPD: 80, LUK: 1, Attack: 651838, Defense: 85566, Current HP: 2304, A Avg: 1733889, D Avg: 85566, [Neural Edge(190)[630, 630, 630], Slafield(232)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 987: HP: 1910, STR: 564177, VIT: 737, SPD: 80, LUK: 1, Attack: 651838, Defense: 86212, Current HP: 1910, A Avg: 1733889, D Avg: 86212, [Neural Edge(190)[630, 630, 630], Mist Shield(233)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 986: HP: 1406, STR: 564177, VIT: 1183, SPD: 80, LUK: 1, Attack: 651838, Defense: 86151, Current HP: 1406, A Avg: 1733889, D Avg: 86151, [Neural Edge(190)[630, 630, 630], Huge Shield(234)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 985: HP: 1330, STR: 564177, VIT: 1225, SPD: 80, LUK: 1, Attack: 651838, Defense: 88065, Current HP: 1330, A Avg: 1733889, D Avg: 88065, [Neural Edge(190)[630, 630, 630], Aurora Shield(240)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 984: HP: 2750, STR: 564177, VIT: 1035, SPD: 80, LUK: 1, Attack: 651838, Defense: 88460, Current HP: 2750, A Avg: 1733889, D Avg: 88460, [Neural Edge(190)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 983: HP: 1216, STR: 564177, VIT: 329, SPD: 80, LUK: 1, Attack: 651838, Defense: 87118, Current HP: 1216, A Avg: 1733889, D Avg: 87118, [Neural Edge(190)[630, 630, 630], Graffiti(243)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 982: HP: 1216, STR: 564177, VIT: 1897, SPD: 80, LUK: 1, Attack: 651838, Defense: 91675, Current HP: 1216, A Avg: 1733889, D Avg: 91675, [Neural Edge(190)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 981: HP: 1691, STR: 564177, VIT: 2602, SPD: 80, LUK: 1, Attack: 651838, Defense: 89390, Current HP: 1691, A Avg: 1733889, D Avg: 89390, [Neural Edge(190)[630, 630, 630], Golem Shield(245)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 980: HP: 1501, STR: 564177, VIT: 972, SPD: 85, LUK: 1, Attack: 651838, Defense: 86850, Current HP: 1501, A Avg: 1733889, D Avg: 86850, [Neural Edge(190)[630, 630, 630], Sticky thread shield(247)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 979: HP: 2561, STR: 564177, VIT: 935, SPD: 80, LUK: 1, Attack: 651838, Defense: 87151, Current HP: 2561, A Avg: 1733889, D Avg: 87151, [Neural Edge(190)[630, 630, 630], King Shield(248)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 978: HP: 1680, STR: 564177, VIT: 963, SPD: 80, LUK: 1, Attack: 651838, Defense: 87998, Current HP: 1680, A Avg: 1733889, D Avg: 87998, [Neural Edge(190)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 977: HP: 1280, STR: 564177, VIT: 1270, SPD: 80, LUK: 1, Attack: 651838, Defense: 88318, Current HP: 1280, A Avg: 1733889, D Avg: 88318, [Neural Edge(190)[630, 630, 630], Ghost shield(251)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 976: HP: 1571, STR: 564213, VIT: 608, SPD: 80, LUK: 1, Attack: 651874, Defense: 84549, Current HP: 1571, A Avg: 1733984, D Avg: 84549, [Neural Edge(190)[630, 630, 630], Dragon's Scales(215)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 975: HP: 1216, STR: 564372, VIT: 494, SPD: 85, LUK: 1, Attack: 652033, Defense: 84519, Current HP: 1216, A Avg: 1734407, D Avg: 84519, [Neural Edge(190)[630, 630, 630], Conductive Barrier(208)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 974: HP: 1776, STR: 564390, VIT: 610, SPD: 80, LUK: 1, Attack: 652051, Defense: 84850, Current HP: 1776, A Avg: 1734455, D Avg: 84850, [Neural Edge(190)[630, 630, 630], Dragon's Wings(216)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
