Rank 1000: HP: 1540, STR: 689837, VIT: 1218, SPD: 47, LUK: 1, Attack: 1162757, Defense: 85237, Current HP: 1540, A Avg: 9685765, D Avg: 119331, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 999: HP: 1444, STR: 689837, VIT: 1213, SPD: 47, LUK: 1, Attack: 1162757, Defense: 85141, Current HP: 1444, A Avg: 9685765, D Avg: 119197, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 998: HP: 1946, STR: 689837, VIT: 1408, SPD: 47, LUK: 1, Attack: 1162757, Defense: 85970, Current HP: 1946, A Avg: 9685765, D Avg: 120357, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 997: HP: 1846, STR: 689837, VIT: 1202, SPD: 47, LUK: 1, Attack: 1162757, Defense: 85130, Current HP: 1846, A Avg: 9685765, D Avg: 119181, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 996: HP: 1440, STR: 689837, VIT: 1819, SPD: 47, LUK: 1, Attack: 1162757, Defense: 88607, Current HP: 1440, A Avg: 9685765, D Avg: 124049, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 995: HP: 3144, STR: 689837, VIT: 1139, SPD: 47, LUK: 1, Attack: 1162757, Defense: 87056, Current HP: 3144, A Avg: 9685765, D Avg: 121878, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 994: HP: 2144, STR: 689837, VIT: 1489, SPD: 47, LUK: 1, Attack: 1162757, Defense: 86223, Current HP: 2144, A Avg: 9685765, D Avg: 120712, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 993: HP: 1870, STR: 689837, VIT: 1408, SPD: 47, LUK: 1, Attack: 1162757, Defense: 86883, Current HP: 1870, A Avg: 9685765, D Avg: 121636, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 992: HP: 1558, STR: 689837, VIT: 1770, SPD: 47, LUK: 1, Attack: 1162757, Defense: 86738, Current HP: 1558, A Avg: 9685765, D Avg: 121433, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 991: HP: 1482, STR: 689837, VIT: 1834, SPD: 47, LUK: 1, Attack: 1162757, Defense: 88674, Current HP: 1482, A Avg: 9685765, D Avg: 124143, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 990: HP: 2310, STR: 689837, VIT: 1628, SPD: 47, LUK: 1, Attack: 1162757, Defense: 89053, Current HP: 2310, A Avg: 9685765, D Avg: 124674, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
