Rank 1000: HP: 4474, STR: 1165101, VIT: 1835, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87752, Current HP: 4474, A Avg: 15624189, D Avg: 122852, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 999: HP: 3264, STR: 1165101, VIT: 2402, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87136, Current HP: 3264, A Avg: 15624189, D Avg: 121990, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 998: HP: 2870, STR: 1165101, VIT: 2280, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87755, Current HP: 2870, A Avg: 15624189, D Avg: 122856, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 997: HP: 2318, STR: 1165101, VIT: 2901, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87869, Current HP: 2318, A Avg: 15624189, D Avg: 123016, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 996: HP: 2242, STR: 1165101, VIT: 2913, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89753, Current HP: 2242, A Avg: 15624189, D Avg: 125654, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 995: HP: 3710, STR: 1165101, VIT: 2666, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90091, Current HP: 3710, A Avg: 15624189, D Avg: 126127, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 994: HP: 2128, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88540, Current HP: 2128, A Avg: 15624189, D Avg: 123955, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 993: HP: 2128, STR: 1165101, VIT: 3784, SPD: 79, LUK: 1, Attack: 1875653, Defense: 93562, Current HP: 2128, A Avg: 15624189, D Avg: 130986, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 992: HP: 2603, STR: 1165101, VIT: 4717, SPD: 79, LUK: 1, Attack: 1875653, Defense: 91505, Current HP: 2603, A Avg: 15624189, D Avg: 128106, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 991: HP: 2413, STR: 1165101, VIT: 2585, SPD: 85, LUK: 1, Attack: 1875653, Defense: 88463, Current HP: 2413, A Avg: 15624189, D Avg: 123848, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 990: HP: 3473, STR: 1165101, VIT: 2583, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88799, Current HP: 3473, A Avg: 15624189, D Avg: 124318, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
