Rank 1000: HP: 1940, STR: 927469, VIT: 1591, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85610, Current HP: 1940, A Avg: 12654977, D Avg: 119853, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 999: HP: 1824, STR: 927469, VIT: 1583, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85511, Current HP: 1824, A Avg: 12654977, D Avg: 119715, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 998: HP: 2486, STR: 927469, VIT: 1844, SPD: 63, LUK: 1, Attack: 1519205, Defense: 86406, Current HP: 2486, A Avg: 12654977, D Avg: 120968, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 997: HP: 2378, STR: 927469, VIT: 1572, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85500, Current HP: 2378, A Avg: 12654977, D Avg: 119699, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 996: HP: 1840, STR: 927469, VIT: 2297, SPD: 63, LUK: 1, Attack: 1519205, Defense: 89085, Current HP: 1840, A Avg: 12654977, D Avg: 124718, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 995: HP: 3809, STR: 927469, VIT: 1487, SPD: 63, LUK: 1, Attack: 1519205, Defense: 87404, Current HP: 3809, A Avg: 12654977, D Avg: 122365, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 994: HP: 2704, STR: 927469, VIT: 1946, SPD: 63, LUK: 1, Attack: 1519205, Defense: 86680, Current HP: 2704, A Avg: 12654977, D Avg: 121351, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 993: HP: 2370, STR: 927469, VIT: 1844, SPD: 63, LUK: 1, Attack: 1519205, Defense: 87319, Current HP: 2370, A Avg: 12654977, D Avg: 122246, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 992: HP: 1938, STR: 927469, VIT: 2335, SPD: 63, LUK: 1, Attack: 1519205, Defense: 87303, Current HP: 1938, A Avg: 12654977, D Avg: 122224, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 991: HP: 1862, STR: 927469, VIT: 2373, SPD: 63, LUK: 1, Attack: 1519205, Defense: 89213, Current HP: 1862, A Avg: 12654977, D Avg: 124898, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 990: HP: 3010, STR: 927469, VIT: 2147, SPD: 63, LUK: 1, Attack: 1519205, Defense: 89572, Current HP: 3010, A Avg: 12654977, D Avg: 125400, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 989: HP: 1748, STR: 927469, VIT: 1419, SPD: 63, LUK: 1, Attack: 1519205, Defense: 88208, Current HP: 1748, A Avg: 12654977, D Avg: 123491, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 988: HP: 1748, STR: 927469, VIT: 3037, SPD: 63, LUK: 1, Attack: 1519205, Defense: 92815, Current HP: 1748, A Avg: 12654977, D Avg: 129940, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 987: HP: 2223, STR: 927469, VIT: 3825, SPD: 63, LUK: 1, Attack: 1519205, Defense: 90613, Current HP: 2223, A Avg: 12654977, D Avg: 126858, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 986: HP: 2033, STR: 927469, VIT: 2087, SPD: 68, LUK: 1, Attack: 1519205, Defense: 87965, Current HP: 2033, A Avg: 12654977, D Avg: 123150, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 985: HP: 2865, STR: 927469, VIT: 2105, SPD: 63, LUK: 1, Attack: 1519205, Defense: 88321, Current HP: 2865, A Avg: 12654977, D Avg: 123649, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 984: HP: 2240, STR: 927469, VIT: 2158, SPD: 63, LUK: 1, Attack: 1519205, Defense: 89193, Current HP: 2240, A Avg: 12654977, D Avg: 124870, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 983: HP: 1840, STR: 927469, VIT: 2390, SPD: 63, LUK: 1, Attack: 1519205, Defense: 89438, Current HP: 1840, A Avg: 12654977, D Avg: 125213, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 982: HP: 1840, STR: 927469, VIT: 1419, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85142, Current HP: 1840, A Avg: 12654977, D Avg: 119198, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 981: HP: 1840, STR: 927469, VIT: 1419, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85152, Current HP: 1840, A Avg: 12654977, D Avg: 119212, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 980: HP: 1748, STR: 927469, VIT: 1498, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85367, Current HP: 1748, A Avg: 12654977, D Avg: 119513, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 979: HP: 1748, STR: 927469, VIT: 1505, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85309, Current HP: 1748, A Avg: 12654977, D Avg: 119432, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 978: HP: 1748, STR: 927469, VIT: 1572, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85435, Current HP: 1748, A Avg: 12654977, D Avg: 119608, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 977: HP: 1748, STR: 927469, VIT: 1594, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85483, Current HP: 1748, A Avg: 12654977, D Avg: 119676, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 976: HP: 1840, STR: 927469, VIT: 1591, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85467, Current HP: 1840, A Avg: 12654977, D Avg: 119653, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 975: HP: 2137, STR: 927469, VIT: 1742, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85579, Current HP: 2137, A Avg: 12654977, D Avg: 119810, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 974: HP: 1900, STR: 927469, VIT: 1510, SPD: 63, LUK: 1, Attack: 1519205, Defense: 85282, Current HP: 1900, A Avg: 12654977, D Avg: 119394, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
