Rank 1000: HP: 1340, STR: 604109, VIT: 1031, SPD: 39, LUK: 1, Attack: 1034165, Defense: 85050, Current HP: 1340, A Avg: 8614594, D Avg: 119069, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 999: HP: 1254, STR: 604109, VIT: 1028, SPD: 39, LUK: 1, Attack: 1034165, Defense: 84956, Current HP: 1254, A Avg: 8614594, D Avg: 118938, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 998: HP: 1676, STR: 604109, VIT: 1191, SPD: 39, LUK: 1, Attack: 1034165, Defense: 85753, Current HP: 1676, A Avg: 8614594, D Avg: 120054, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 997: HP: 1580, STR: 604109, VIT: 1017, SPD: 39, LUK: 1, Attack: 1034165, Defense: 84945, Current HP: 1580, A Avg: 8614594, D Avg: 118922, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 996: HP: 1240, STR: 604109, VIT: 1581, SPD: 39, LUK: 1, Attack: 1034165, Defense: 88369, Current HP: 1240, A Avg: 8614594, D Avg: 123716, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 995: HP: 2812, STR: 604109, VIT: 965, SPD: 39, LUK: 1, Attack: 1034165, Defense: 86882, Current HP: 2812, A Avg: 8614594, D Avg: 121634, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 994: HP: 1864, STR: 604109, VIT: 1261, SPD: 39, LUK: 1, Attack: 1034165, Defense: 85995, Current HP: 1864, A Avg: 8614594, D Avg: 120392, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 993: HP: 1620, STR: 604109, VIT: 1191, SPD: 39, LUK: 1, Attack: 1034165, Defense: 86666, Current HP: 1620, A Avg: 8614594, D Avg: 121332, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 992: HP: 1368, STR: 604109, VIT: 1487, SPD: 39, LUK: 1, Attack: 1034165, Defense: 86455, Current HP: 1368, A Avg: 8614594, D Avg: 121036, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 991: HP: 1292, STR: 604109, VIT: 1564, SPD: 39, LUK: 1, Attack: 1034165, Defense: 88404, Current HP: 1292, A Avg: 8614594, D Avg: 123765, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 990: HP: 1960, STR: 604109, VIT: 1369, SPD: 39, LUK: 1, Attack: 1034165, Defense: 88794, Current HP: 1960, A Avg: 8614594, D Avg: 124311, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 989: HP: 1178, STR: 604109, VIT: 921, SPD: 39, LUK: 1, Attack: 1034165, Defense: 87710, Current HP: 1178, A Avg: 8614594, D Avg: 122793, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 1178, STR: 604109, VIT: 1917, SPD: 39, LUK: 1, Attack: 1034165, Defense: 91695, Current HP: 1178, A Avg: 8614594, D Avg: 128372, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 1653, STR: 604109, VIT: 2488, SPD: 39, LUK: 1, Attack: 1034165, Defense: 89276, Current HP: 1653, A Avg: 8614594, D Avg: 124986, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 1463, STR: 604109, VIT: 1340, SPD: 42, LUK: 1, Attack: 1034165, Defense: 87218, Current HP: 1463, A Avg: 8614594, D Avg: 122105, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 1953, STR: 604109, VIT: 1387, SPD: 39, LUK: 1, Attack: 1034165, Defense: 87603, Current HP: 1953, A Avg: 8614594, D Avg: 122644, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 1640, STR: 604109, VIT: 1535, SPD: 39, LUK: 1, Attack: 1034165, Defense: 88570, Current HP: 1640, A Avg: 8614594, D Avg: 123997, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 1240, STR: 604109, VIT: 1518, SPD: 39, LUK: 1, Attack: 1034165, Defense: 88566, Current HP: 1240, A Avg: 8614594, D Avg: 123992, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
