Rank 40333: 285 - [11224, 6661, 414] - HP: 94163, STR: 180972, VIT: 894, SPD: 40, LUK: 1, Attack: 270881, Defense: 90672, Current HP: 94163, A Avg: 284425, D Avg: 90672, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 40336: 2484 - [11418, 6082, 799] - HP: 48923, STR: 81827, VIT: 103358, SPD: 40, LUK: 1, Attack: 174013, Defense: 190926, Current HP: 48923, A Avg: 219256, D Avg: 190926, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 40339: 6087 - [11507, 5818, 974] - HP: 94163, STR: 92199, VIT: 76926, SPD: 40, LUK: 1, Attack: 182108, Defense: 164754, Current HP: 94163, A Avg: 200318, D Avg: 164754, [Spectral Sword Shigure[172, 130, 130, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 803, 807]]
Rank 40342: 2038 - [11605, 5527, 1167] - HP: 94453, STR: 83425, VIT: 76862, SPD: 40, LUK: 1, Attack: 175611, Defense: 164690, Current HP: 94453, A Avg: 184391, D Avg: 197628, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 806]]
Rank 40352: 2449 - [11513, 5813, 973] - HP: 50790, STR: 102454, VIT: 77208, SPD: 40, LUK: 1, Attack: 194640, Defense: 164633, Current HP: 50790, A Avg: 209238, D Avg: 164633, [Big Bang[171, 130, 230, 230], Cloud Shield[241, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40369: 280 - [11235, 6664, 400] - HP: 94453, STR: 179254, VIT: 830, SPD: 40, LUK: 1, Attack: 271440, Defense: 90608, Current HP: 94453, A Avg: 285012, D Avg: 90608, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 40387: 2990 - [11555, 5722, 1022] - HP: 1653, STR: 102454, VIT: 103230, SPD: 40, LUK: 1, Attack: 194640, Defense: 193008, Current HP: 1653, A Avg: 204372, D Avg: 231609, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40402: 2051 - [11937, 4591, 1771] - HP: 64429, STR: 121168, VIT: 103920, SPD: 47, LUK: 1, Attack: 206981, Defense: 193698, Current HP: 64429, A Avg: 217330, D Avg: 193698, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 330, 66]]
Rank 40402: 2101 - [11937, 4591, 1771] - HP: 64429, STR: 121168, VIT: 103920, SPD: 47, LUK: 1, Attack: 206981, Defense: 193698, Current HP: 64429, A Avg: 217330, D Avg: 193698, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 330, 807]]
Rank 40405: 8241 - [12238, 3691, 2370] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 217330, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 807]]
Rank 40408: 163 - [11758, 5134, 1407] - HP: 122702, STR: 121683, VIT: 26438, SPD: 40, LUK: 2, Attack: 213869, Defense: 116216, Current HP: 122702, A Avg: 224562, D Avg: 116216, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Tears of the Dragon[307, 230, 230, 330]]
