Rank 38490: 18043 - [11897, 2799, 3603] - HP: 6593, STR: 253378, VIT: 1678, SPD: 80, LUK: 2, Attack: 341260, Defense: 89506, Current HP: 6593, A Avg: 648394, D Avg: 125308, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 66, 68], Tears of the Dragon[307, 803, 806, 807]]
Rank 38499: 225 - [10412, 7263, 624] - HP: 182533, STR: 362374, VIT: 82963, SPD: 80, LUK: 1, Attack: 450256, Defense: 170791, Current HP: 182533, A Avg: 472768, D Avg: 170791, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 630, 630, 730]]
Rank 38501: 6863 - [10901, 5798, 1600] - HP: 65246, STR: 191638, VIT: 149854, SPD: 80, LUK: 2, Attack: 279520, Defense: 237682, Current HP: 65246, A Avg: 349400, D Avg: 237682, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 66, 68]]
Rank 38503: 224 - [10410, 7273, 616] - HP: 180500, STR: 363050, VIT: 84299, SPD: 80, LUK: 1, Attack: 450878, Defense: 172127, Current HP: 180500, A Avg: 473421, D Avg: 172127, [Stargazer[183, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 630, 630, 730]]
Rank 38506: 525 - [10108, 8182, 009] - HP: 6574, STR: 149371, VIT: 564535, SPD: 80, LUK: 1, Attack: 237253, Defense: 652363, Current HP: 6574, A Avg: 249115, D Avg: 652363, [Wild Card[175, 630, 630, 730], Black Sword Breath[252, 730, 730, 730], Silver Ring[302, 730, 730, 730]]
Rank 38508: 2562 - [10434, 7206, 659] - HP: 65607, STR: 230662, VIT: 249880, SPD: 95, LUK: 1, Attack: 316475, Defense: 339658, Current HP: 65607, A Avg: 340210, D Avg: 339658, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 803]]
Rank 38513: 3050 - [10417, 7262, 620] - HP: 7505, STR: 260007, VIT: 249406, SPD: 95, LUK: 1, Attack: 347889, Defense: 337234, Current HP: 7505, A Avg: 365283, D Avg: 404680, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Black Box[323, 730, 730, 806]]
Rank 38513: 6853 - [10907, 5792, 1600] - HP: 65246, STR: 191638, VIT: 149854, SPD: 80, LUK: 2, Attack: 279520, Defense: 237682, Current HP: 65246, A Avg: 352195, D Avg: 237682, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 66, 67]]
Rank 38517: 5042 - [10610, 6687, 1002] - HP: 182913, STR: 341794, VIT: 52312, SPD: 95, LUK: 1, Attack: 427607, Defense: 142090, Current HP: 182913, A Avg: 448987, D Avg: 198926, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 806, 807]]
Rank 38519: 5853 - [11202, 4913, 2184] - HP: 123899, STR: 191638, VIT: 100462, SPD: 80, LUK: 2, Attack: 279520, Defense: 188290, Current HP: 123899, A Avg: 419280, D Avg: 188290, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 730, 67, 68]]
Rank 38538: 8099 - [10362, 7452, 485] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 283514, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 66, 807]]
Rank 38550: 1931 - [10426, 7272, 601] - HP: 137171, STR: 367795, VIT: 113266, SPD: 90, LUK: 1, Attack: 455677, Defense: 201094, Current HP: 137171, A Avg: 478460, D Avg: 201094, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 66]]
Rank 38550: 1981 - [10426, 7272, 601] - HP: 137171, STR: 367795, VIT: 113266, SPD: 90, LUK: 1, Attack: 455677, Defense: 201094, Current HP: 137171, A Avg: 478460, D Avg: 201094, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 807]]
Rank 38551: 327 - [10478, 7117, 704] - HP: 125932, STR: 248349, VIT: 200014, SPD: 100, LUK: 1, Attack: 336231, Defense: 286802, Current HP: 125932, A Avg: 353042, D Avg: 286802, [Wild Card[175, 530, 530, 630], C Magnum[239, 630, 630, 730], Black Box[323, 730, 730, 730]]
Rank 38561: 2026 - [10456, 7193, 650] - HP: 130400, STR: 268433, VIT: 159288, SPD: 85, LUK: 1, Attack: 356315, Defense: 247116, Current HP: 130400, A Avg: 489933, D Avg: 247116, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 803]]
Rank 38564: 3030 - [10359, 7487, 453] - HP: 7505, STR: 260007, VIT: 249406, SPD: 95, LUK: 1, Attack: 347889, Defense: 337234, Current HP: 7505, A Avg: 434861, D Avg: 337234, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Black Box[323, 730, 730, 68]]
