Rank 38082: 7926 - [10226, 7404, 669] - HP: 5244, STR: 232010, VIT: 193801, SPD: 64, LUK: 1, Attack: 319892, Defense: 281629, Current HP: 5244, A Avg: 343883, D Avg: 281629, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 66, 803]]
Rank 38082: 8026 - [10226, 7404, 669] - HP: 5244, STR: 232010, VIT: 193801, SPD: 64, LUK: 1, Attack: 319892, Defense: 281629, Current HP: 5244, A Avg: 343883, D Avg: 337954, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 803, 806]]
Rank 38088: 220 - [10193, 7509, 597] - HP: 145673, STR: 449686, VIT: 41672, SPD: 76, LUK: 1, Attack: 535499, Defense: 131450, Current HP: 145673, A Avg: 562273, D Avg: 131450, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Black Box[323, 630, 630, 730]]
Rank 38089: 7925 - [10226, 7411, 662] - HP: 3781, STR: 232663, VIT: 194981, SPD: 64, LUK: 1, Attack: 320491, Defense: 282809, Current HP: 3781, A Avg: 344527, D Avg: 282809, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 66, 803]]
Rank 38089: 8025 - [10226, 7411, 662] - HP: 3781, STR: 232663, VIT: 194981, SPD: 64, LUK: 1, Attack: 320491, Defense: 282809, Current HP: 3781, A Avg: 344527, D Avg: 339370, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 803, 806]]
Rank 38090: 8069 - [10118, 7736, 445] - HP: 2109, STR: 165585, VIT: 258250, SPD: 64, LUK: 1, Attack: 255494, Defense: 348028, Current HP: 2109, A Avg: 319367, D Avg: 348028, [Spectral Sword Shigure[172, 630, 630, 630], Blank Shield[244, 730, 730, 730], Obsidian Ring[320, 730, 66, 68]]
Rank 38090: 8159 - [10118, 7736, 445] - HP: 2109, STR: 165585, VIT: 258250, SPD: 64, LUK: 1, Attack: 255494, Defense: 348028, Current HP: 2109, A Avg: 319367, D Avg: 417633, [Spectral Sword Shigure[172, 630, 630, 630], Blank Shield[244, 730, 730, 730], Obsidian Ring[320, 730, 68, 806]]
Rank 38091: 8059 - [10118, 7737, 444] - HP: 2109, STR: 165585, VIT: 258250, SPD: 64, LUK: 1, Attack: 255494, Defense: 348028, Current HP: 2109, A Avg: 321922, D Avg: 348028, [Spectral Sword Shigure[172, 630, 630, 630], Blank Shield[244, 730, 730, 730], Obsidian Ring[320, 730, 66, 67]]
Rank 38091: 8129 - [10118, 7737, 444] - HP: 2109, STR: 165585, VIT: 258250, SPD: 64, LUK: 1, Attack: 255494, Defense: 348028, Current HP: 2109, A Avg: 321922, D Avg: 417633, [Spectral Sword Shigure[172, 630, 630, 630], Blank Shield[244, 730, 730, 730], Obsidian Ring[320, 730, 67, 806]]
Rank 38093: 2437 - [10149, 7646, 504] - HP: 57602, STR: 191746, VIT: 208877, SPD: 72, LUK: 1, Attack: 279628, Defense: 296705, Current HP: 57602, A Avg: 349535, D Avg: 296705, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Endpoint[318, 730, 730, 68]]
Rank 38094: 2427 - [10149, 7647, 503] - HP: 57602, STR: 191746, VIT: 208877, SPD: 72, LUK: 1, Attack: 279628, Defense: 296705, Current HP: 57602, A Avg: 352331, D Avg: 296705, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Endpoint[318, 730, 730, 67]]
Rank 38097: 8035 - [10226, 7419, 654] - HP: 3781, STR: 232663, VIT: 194981, SPD: 64, LUK: 1, Attack: 320491, Defense: 282809, Current HP: 3781, A Avg: 352540, D Avg: 282809, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 803, 807]]
Rank 38097: 8036 - [10226, 7419, 654] - HP: 5244, STR: 232010, VIT: 193801, SPD: 64, LUK: 1, Attack: 319892, Defense: 281629, Current HP: 5244, A Avg: 351881, D Avg: 281629, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 803, 807]]
