Rank 40540: 8037 - [11603, 5731, 965] - HP: 3933, STR: 150138, VIT: 88702, SPD: 48, LUK: 2, Attack: 238020, Defense: 176530, Current HP: 3933, A Avg: 261822, D Avg: 176530, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 803, 807]]
Rank 40542: 1829 - [11801, 5139, 1359] - HP: 108634, STR: 186590, VIT: 1086, SPD: 48, LUK: 1, Attack: 278776, Defense: 88654, Current HP: 108634, A Avg: 351257, D Avg: 88654, [Big Bang[171, 530, 530, 630], Storm Wall[242, 630, 630, 630], Gold Ring[303, 630, 630, 67]]
Rank 40542: 8172 - [12361, 3459, 2479] - HP: 3838, STR: 236598, VIT: 118388, SPD: 48, LUK: 1, Attack: 322411, Defense: 208166, Current HP: 3838, A Avg: 346591, D Avg: 249799, [Spear of Regression[182, 630, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 803, 806]]
Rank 40543: 8192 - [12365, 3448, 2486] - HP: 3838, STR: 236598, VIT: 118388, SPD: 48, LUK: 1, Attack: 322411, Defense: 208166, Current HP: 3838, A Avg: 338531, D Avg: 291432, [Spear of Regression[182, 630, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 40547: 8122 - [12361, 3464, 2474] - HP: 3838, STR: 236598, VIT: 118388, SPD: 48, LUK: 1, Attack: 322411, Defense: 208166, Current HP: 3838, A Avg: 406237, D Avg: 249799, [Spear of Regression[182, 630, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 67, 806]]
Rank 40547: 8152 - [12361, 3464, 2474] - HP: 3838, STR: 236598, VIT: 118388, SPD: 48, LUK: 1, Attack: 322411, Defense: 208166, Current HP: 3838, A Avg: 403013, D Avg: 249799, [Spear of Regression[182, 630, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 68, 806]]
Rank 40551: 6415 - [11174, 7029, 096] - HP: 54491, STR: 302489, VIT: 134, SPD: 48, LUK: 1, Attack: 392398, Defense: 87962, Current HP: 54491, A Avg: 490497, D Avg: 87962, [Spectral Sword Shigure[172, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Gold Ring[303, 630, 66, 68]]
Rank 40551: 6868 - [11837, 5040, 1422] - HP: 36442, STR: 123565, VIT: 144630, SPD: 48, LUK: 1, Attack: 213474, Defense: 234408, Current HP: 36442, A Avg: 266842, D Avg: 234408, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 730, 730], Obsidian Ring[320, 730, 66, 68]]
Rank 40551: 13275 - [11382, 6405, 512] - HP: 1508, STR: 203831, VIT: 58598, SPD: 48, LUK: 1, Attack: 293740, Defense: 146426, Current HP: 1508, A Avg: 370112, D Avg: 175711, [Spectral Sword Shigure[172, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Gold Ring[303, 66, 67, 806]]
Rank 40552: 2899 - [11615, 5707, 977] - HP: 2668, STR: 155531, VIT: 88782, SPD: 48, LUK: 1, Attack: 247717, Defense: 176350, Current HP: 2668, A Avg: 260102, D Avg: 176350, [Big Bang[171, 630, 630, 630], Storm Wall[242, 630, 630, 730], Gold Ring[303, 730, 730, 66]]
Rank 40552: 2939 - [11615, 5707, 977] - HP: 2668, STR: 155531, VIT: 88782, SPD: 48, LUK: 1, Attack: 247717, Defense: 176350, Current HP: 2668, A Avg: 260102, D Avg: 211620, [Big Bang[171, 630, 630, 630], Storm Wall[242, 630, 630, 730], Gold Ring[303, 730, 730, 806]]
Rank 40552: 2949 - [11615, 5707, 977] - HP: 2668, STR: 155531, VIT: 88782, SPD: 48, LUK: 1, Attack: 247717, Defense: 176350, Current HP: 2668, A Avg: 260102, D Avg: 176350, [Big Bang[171, 630, 630, 630], Storm Wall[242, 630, 630, 730], Gold Ring[303, 730, 730, 807]]
